158,00:29:01.260 07/13/2019,2061:520159.260,7.39,183.74,-2453654.500,-4767151.560
159,00:29:03.000 07/13/2019,2061:520159.620,7.31,183.24,-2453655.300,-4767152.750
160,00:29:01.980 07/13/2019,2061:520159.980,7.18,182.46,-2453656.060,-4767153.950
161,00:29:04.000 07/13/2019,2061:520160.400,7.00,181.64,-2453656.890,-4767155.350
162,00:29:02.760 07/13/2019,2061:520160.760,6.85,181.04,-2453657.570,-4767156.530
163,00:29:03.180 07/13/2019,2061:520161.180,6.62,180.66,-2453658.320,-4767157.890
164,00:29:05.000 07/13/2019,2061:520161.540,6.43,180.43,-2453658.920,-4767159.030
165,00:29:03.900 07/13/2019,2061:520161.900,6.35,180.37,-2453659.510,-4767160.140
166,00:29:04.320 07/13/2019,2061:520162.320,6.28,180.83,-2453660.220,-4767161.450
167,00:29:04.680 07/13/2019,2061:520162.680,6.29,181.17,-2453660.830,-4767162.550
168,00:29:05.040 07/13/2019,2061:520163.040,6.23,181.09,-2453661.430,-4767163.650
169,00:29:07.000 07/13/2019,2061:520163.400,6.28,181.41,-2453662.030,-4767164.750
170,00:29:05.760 07/13/2019,2061:520163.760,6.33,182.90,-2453662.690,-4767165.820
171,00:29:06.180 07/13/2019,2061:520164.180,6.46,187.24,-2453663.640,-4767166.980
172,00:29:08.000 07/13/2019,2061:520164.540,6.43,193.25,-2453664.630,-4767167.890
173,00:29:06.900 07/13/2019,2061:520164.900,6.29,200.68,-2453665.860,-4767168.750
174,00:29:07.260 07/13/2019,2061:520165.260,6.27,207.96,-2453667.260,-4767169.470
175,00:29:09.000 07/13/2019,2061:520165.680,6.32,214.90,-2453669.120,-4767170.110
176,00:29:08.040 07/13/2019,2061:520166.040,6.46,218.31,-2453670.860,-4767170.540
177,00:29:10.000 07/13/2019,2061:520166.520,6.62,220.38,-2453673.290,-4767170.990
178,00:29:08.880 07/13/2019,2061:520166.880,6.64,221.46,-2453675.180,-4767171.250
179,00:29:09.240 07/13/2019,2061:520167.240,6.62,222.34,-2453677.060,-4767171.470
180,00:29:11.000 07/13/2019,2061:520167.600,6.63,223.15,-2453678.970,-4767171.630
181,00:29:09.960 07/13/2019,2061:520167.960,6.57,223.95,-2453680.880,-4767171.800
182,00:29:10.320 07/13/2019,2061:520168.320,6.52,224.63,-2453682.780,-4767171.940
183,00:29:10.680 07/13/2019,2061:520168.680,6.40,224.71,-2453684.630,-4767172.010
184,00:29:11.040 07/13/2019,2061:520169.040,6.25,224.68,-2453686.410,-4767172.070
185,00:29:13.000 07/13/2019,2061:520169.460,6.31,224.80,-2453688.510,-4767172.040
186,00:29:11.820 07/13/2019,2061:520169.820,6.12,224.88,-2453690.230,-4767172.080
187,00:29:12.240 07/13/2019,2061:520170.240,6.21,225.19,-2453692.300,-4767172.050
188,00:29:14.000 07/13/2019,2061:520170.600,6.22,225.49,-2453694.090,-4767172.030
189,00:29:12.960 07/13/2019,2061:520170.960,6.22,226.12,-2453695.880,-4767172.010
190,00:29:15.000 07/13/2019,2061:520171.320,6.14,226.64,-2453697.670,-4767171.990
191,00:29:13.740 07/13/2019,2061:520171.740,5.91,227.30,-2453699.730,-4767171.930
192,00:29:14.100 07/13/2019,2061:520172.100,5.50,227.87,-2453701.440,-4767171.890
193,00:29:16.000 07/13/2019,2061:520172.460,5.04,227.23,-2453702.980,-4767171.870
194,00:29:14.820 07/13/2019,2061:520172.820,4.61,225.06,-2453704.360,-4767171.930
195,00:29:15.180 07/13/2019,2061:520173.180,4.15,220.35,-2453705.570,-4767172.020
196,00:29:17.000 07/13/2019,2061:520173.540,3.75,213.29,-2453706.580,-4767172.190
197,00:29:15.900 07/13/2019,2061:520173.900,3.50,204.10,-2453707.400,-4767172.430
198,00:29:16.320 07/13/2019,2061:520174.320,3.26,190.20,-2453708.070,-4767172.880
199,00:29:16.680 07/13/2019,2061:520174.680,3.17,176.40,-2453708.360,-4767173.390
200,00:29:17.040 07/13/2019,2061:520175.040,2.98,162.79,-2453708.440,-4767174.010
201,00:29:19.000 07/13/2019,2061:520175.400,2.96,148.61,-2453708.260,-4767174.730
202,00:29:17.760 07/13/2019,2061:520175.760,3.13,134.13,-2453707.850,-4767175.570
